Distance (km),Fuel Type,Duration (min),Base Fare (₹),Traffic Conditions,Weather,Time of Day,Day,Demand/Supply Ratio,Surge Multiplier,Traffic/Delay (min),Driver Availability,Fuel Price (₹/km),Final Price (₹)
32,CNG,17,50,Moderate,Snowy,Peak,Sat,1.920577198342095,1.7116662767662612,8,High,2.8,570.6904217962086
39,Diesel,30,50,Moderate,Clear,Peak,Thu,1.6999878354116262,1.2534640158765185,11,High,3.2,500.32911637650415
49,EV,26,50,Moderate,Snowy,Off-peak,Mon,1.3342416606354406,1.4368597786751558,4,Low,1.0,289.4848447571716
32,CNG,36,50,Light,Stormy,Off-peak,Mon,1.4282346055269906,1.4764084964075765,11,Medium,2.8,446.19197068764953
4,CNG,19,50,Heavy,Stormy,Off-peak,Fri,1.1221850345809012,1.295721203261923,12,Medium,2.8,144.24066317433707
30,Petrol,15,50,Heavy,Clear,Off-peak,Wed,1.3375078460221828,1.7911438081746345,0,High,4.5,515.0688128093394
37,Petrol,20,50,Light,Snowy,Peak,Thu,1.5185711466002296,1.1776225307819956,10,Low,4.5,458.699872587377
23,CNG,51,50,Light,Stormy,Peak,Mon,2.5166181956846607,1.6631768861950096,12,Low,2.8,905.7597748049278
39,CNG,60,50,Heavy,Snowy,Off-peak,Sun,1.7319727169650612,1.932393375002322,1,High,2.8,934.4412470222971
45,Diesel,10,50,Heavy,Snowy,Peak,Thu,2.3819321092445476,1.8377275472675025,4,Low,3.2,936.7512421162539
15,EV,50,50,Light,Rainy,Off-peak,Fri,2.992313701367692,1.764103623929053,13,High,1.0,870.9939883450252
43,CNG,15,50,Moderate,Snowy,Off-peak,Sun,2.1634677062225527,1.1427969150043102,1,Medium,2.8,495.4698057646699
29,EV,56,50,Moderate,Clear,Off-peak,Sun,2.2282755412825455,1.7588705956539779,7,Low,1.0,748.5764307581727
36,CNG,14,50,Moderate,Stormy,Peak,Fri,2.1044171152149063,1.374602544293702,8,Medium,2.8,517.2213972043365
13,EV,20,50,Light,Clear,Peak,Wed,1.7910126906883503,1.1033573900030487,4,High,1.0,203.5410900496043
32,Petrol,16,50,Heavy,Snowy,Off-peak,Sun,1.3714949643256804,1.6978119756678267,7,High,4.5,526.2501699500585
7,CNG,11,50,Light,Clear,Peak,Wed,2.955017896763121,1.0659865112214133,4,Medium,2.8,288.54084440245
22,Diesel,43,50,Moderate,Stormy,Off-peak,Fri,1.9559348643787169,1.3813254231970986,3,Medium,3.2,557.6479192041951
28,EV,31,50,Moderate,Snowy,Peak,Tue,2.87176755773092,1.859795620746672,7,Low,1.0,747.7261018738461
2,CNG,28,50,Moderate,Clear,Off-peak,Tue,1.519652699506534,1.686560880367064,2,Medium,2.8,286.0293262920828
42,Petrol,54,50,Light,Snowy,Off-peak,Mon,1.2170894094940659,1.5172661191644243,7,Low,4.5,640.7870381816563
45,Petrol,19,50,Light,Snowy,Peak,Wed,2.2737514540014683,1.882483360081375,2,High,4.5,1243.426940002952
6,Petrol,10,50,Moderate,Clear,Peak,Mon,2.7026764407241606,1.7494515811568625,1,Medium,4.5,458.63555254028756
28,Petrol,23,50,Moderate,Snowy,Off-peak,Sat,2.3244265065180896,1.4697705433348616,12,Low,4.5,758.4349412928044
28,CNG,12,50,Heavy,Clear,Off-peak,Sat,2.4856637843957805,1.7471027198196851,1,High,2.8,661.8289976411343
44,Diesel,56,50,Light,Stormy,Off-peak,Sun,2.216852169099959,1.8832006517562232,1,Low,3.2,1264.1226117680214
44,EV,51,50,Heavy,Snowy,Peak,Thu,2.492739675605533,1.1437306321731833,2,High,1.0,558.8004541046045
20,Diesel,40,50,Moderate,Clear,Peak,Fri,1.6889568445796557,1.200237555140427,1,Low,3.2,393.26699017193937
30,EV,54,50,Moderate,Stormy,Off-peak,Sat,1.7789308748896242,1.7259291295546455,11,High,1.0,577.218019889993
11,Diesel,17,50,Moderate,Rainy,Peak,Fri,2.560513745418114,1.170265938452283,13,Medium,3.2,357.18065692724264
28,CNG,58,50,Heavy,Snowy,Peak,Sat,2.6029385614560265,1.1665151673590757,13,Low,2.8,742.0881709653704
25,CNG,58,50,Light,Stormy,Off-peak,Sat,1.165156346632088,1.6562491868808136,5,Medium,2.8,455.430263400826
39,EV,37,50,Light,Snowy,Off-peak,Tue,1.0338831535066932,1.5354823657826602,7,High,1.0,258.764024129755
33,CNG,36,50,Heavy,Snowy,Off-peak,Mon,2.333053141997979,1.7568020602614425,12,Medium,2.8,878.7639742707814
1,EV,32,50,Light,Rainy,Off-peak,Mon,1.1688679483335807,1.3188551475657788,8,Low,1.0,177.28026370570527
27,Diesel,44,50,Heavy,Stormy,Off-peak,Thu,1.3428072276489638,1.6084552541765555,11,Low,3.2,484.6692944437068
13,CNG,55,50,Heavy,Snowy,Peak,Sun,1.394422507625421,1.8966923970622376,5,Medium,2.8,519.4368676544991
41,CNG,53,50,Light,Stormy,Off-peak,Mon,2.0186755175189806,1.903461677694827,14,Low,2.8,1040.5412787603395
3,EV,14,50,Light,Rainy,Peak,Thu,1.402228267004897,1.653127821073271,9,Low,1.0,187.76306733417348
39,EV,37,50,Heavy,Stormy,Off-peak,Mon,1.3617626075561182,1.0233313937400172,9,High,1.0,227.14611162275116
6,EV,5,50,Light,Rainy,Off-peak,Sat,1.0212880213461908,1.5284450017849864,5,Low,1.0,103.02484972622462
8,EV,25,50,Light,Stormy,Peak,Sun,2.533090028608854,1.0681025868580287,13,High,1.0,292.2048013285507
27,Petrol,9,50,Heavy,Rainy,Peak,Wed,1.2717621874946257,1.9897610521931977,14,Medium,4.5,479.5302935483131
9,EV,5,50,Moderate,Stormy,Peak,Fri,2.1375195733280377,1.9970271697670272,3,Medium,1.0,294.5392418052991
37,Petrol,57,50,Heavy,Clear,Peak,Thu,1.5994000937205313,1.1159959188509507,1,Medium,4.5,589.9173744652414
33,Diesel,59,50,Light,Clear,Off-peak,Fri,1.3659760879721892,1.4561631824380252,12,Low,3.2,544.2134063114983
42,EV,25,50,Moderate,Snowy,Peak,Fri,1.6937091693773594,1.8611696161192794,5,High,1.0,447.62376633146243
44,Petrol,29,50,Light,Rainy,Peak,Mon,1.5149302477633888,1.1160758288754675,0,High,4.5,517.3777717800788
24,Petrol,24,50,Heavy,Snowy,Peak,Mon,1.8664834803885284,1.5522739107766483,9,Low,4.5,596.8424839695584
15,Petrol,49,50,Heavy,Clear,Peak,Sun,2.380327220758983,1.19967759609995,6,Medium,4.5,615.3872388173191
32,CNG,13,50,Heavy,Snowy,Peak,Sun,1.1018521201791796,1.4856738487475472,12,Medium,2.8,271.086020950728
32,Petrol,20,50,Moderate,Stormy,Off-peak,Thu,1.366515857784644,1.2023023934854964,2,Low,4.5,384.4538770527851
24,EV,32,50,Light,Rainy,Peak,Sun,1.1605468016401668,1.5302970973597252,7,High,1.0,245.08543346220827
41,EV,44,50,Moderate,Rainy,Peak,Tue,2.935625213736707,1.4115728783777266,8,Low,1.0,741.7489589698667
49,EV,50,50,Heavy,Stormy,Peak,Tue,2.147830642624559,1.3938639565381434,14,High,1.0,595.7629597830037
49,Petrol,53,50,Light,Rainy,Peak,Fri,2.6406836056026757,1.1603585296687606,2,Low,4.5,1153.648614337947
12,Petrol,40,50,Heavy,Rainy,Off-peak,Tue,1.5333473855791124,1.6597990205141337,9,Medium,4.5,468.28892191934983
39,CNG,43,50,Light,Snowy,Off-peak,Wed,2.790799373464628,1.0702507587954768,6,High,2.8,732.3768820680518
2,Diesel,53,50,Moderate,Rainy,Off-peak,Mon,2.2579693417910773,1.9338626078361318,2,Medium,3.2,709.1362427081726
3,CNG,28,50,Moderate,Clear,Peak,Sat,1.8119510516175168,1.059029637789437,2,High,2.8,219.52328865743715
49,EV,20,50,Moderate,Stormy,Off-peak,Sun,2.2011259075014897,1.4115212062390037,13,Medium,1.0,431.864089549619
37,EV,18,50,Moderate,Rainy,Off-peak,Fri,1.2549387454333287,1.286778469655371,13,Low,1.0,198.62386347827137
49,EV,52,50,Light,Clear,Off-peak,Mon,1.6262944169474176,1.5516988121935893,14,High,1.0,512.2743803560379
17,CNG,38,50,Light,Stormy,Peak,Sun,2.078464508437195,1.024903923594915,12,Medium,2.8,369.8073082046099
49,EV,28,50,Moderate,Snowy,Peak,Sun,2.280894157328939,1.439003057649355,13,Medium,1.0,508.74311831848837
2,EV,51,50,Moderate,Snowy,Off-peak,Tue,1.433519757905678,1.7537063382308657,3,Low,1.0,387.151793554428
2,EV,15,50,Light,Snowy,Off-peak,Wed,2.9837332694486394,1.807203626820002,4,High,1.0,442.16151405290884
28,Petrol,49,50,Heavy,Snowy,Peak,Wed,2.6661556155720243,1.9342640780511764,12,High,4.5,1413.0314352325365
